Year,Code,Area,Cancer Type,Age-Adjusted Rate,Case Count,Population,per_100k
2003,NE,Nebraska,Cervix,7.9,68,879362,7.73
2003,NV,Nevada,Cervix,9.7,108,1108135,9.75
2003,NH,New Hampshire,Cervix,6.8,47,648513,7.25
2003,NJ,New Jersey,Cervix,9.7,456,4421964,10.31
2003,NM,New Mexico,Cervix,7.6,72,952303,7.56
2003,NY,New York,Cervix,9,948,9917810,9.56
2003,NC,North Carolina,Cervix,7.4,332,4313901,7.70
2003,ND,North Dakota,Cervix,6,18,318896,5.64
2003,OH,Ohio,Cervix,8.4,512,5868535,8.72
2003,OK,Oklahoma,Cervix,9.4,166,1777723,9.34
2003,OR,Oregon,Cervix,6.3,116,1788805,6.48
2003,PA,Pennsylvania,Cervix,7.7,518,6377894,8.12
2003,PR,Puerto Rico,,Data Suppressed,Data Suppressed,,
2003,RI,Rhode Island,Cervix,6.7,38,555590,6.84
2003,SC,South Carolina,Cervix,8.5,187,2133967,8.76
2003,SD,South Dakota,Cervix,4.6,17,383633,4.43
2003,TN,Tennessee,Cervix,8.1,254,3000983,8.46
2003,TX,Texas,Cervix,10.8,1147,11095953,10.34
2003,United States,United States,Cervix,8.4,12711,147679036,8.61
2003,UT,Utah,Cervix,4.9,49,1175867,4.17
2003,VT,Vermont,Cervix,7.4,25,314206,7.96
2003,VA,Virginia,Cervix,6.5,252,3757780,6.71
2003,WA,Washington,Cervix,7.1,219,3065739,7.14
2003,WV,West Virginia,Cervix,9.6,95,925835,10.26
2003,WI,Wisconsin,Cervix,6.7,191,2766901,6.90
2003,WY,Wyoming,Cervix,9.3,22,249128,8.83
2004,AL,Alabama,Cervix,8.3,199,2337857,8.51
2004,AK,Alaska,Cervix,6.8,21,317807,6.61
2004,AZ,Arizona,Cervix,7.7,212,2835606,7.48
2004,ArKS,Arkansas,Cervix,10,139,1403048,9.91
2004,CA,California,Cervix,8.2,1449,17871415,8.11
2004,CO,Colorado,Cervix,6.2,143,2274511,6.29
2004,CT,Connecticut,Cervix,7.3,139,1798078,7.73
2004,DE,Delaware,Cervix,8.5,38,427320,8.89
2004,DC,District of Columbia,Cervix,13.9,44,300284,14.65
2004,FL,Florida,Cervix,9.3,885,8902447,9.94
2004,GA,Georgia,Cervix,8.2,362,4463524,8.11
2004,HI,Hawaii,Cervix,6.3,43,636864,6.75
2004,ID,Idaho,Cervix,5.7,38,693186,5.48
2004,IL,Illinois,Cervix,8.7,571,6414209,8.90
2004,IN,Indiana,Cervix,8.4,269,3168952,8.49
2004,IA,Iowa,Cervix,6.3,96,1498888,6.40
2004,KS,Kansas,Cervix,7.7,103,1382396,7.45
2004,KY,Kentucky,Cervix,10.1,219,2112051,10.37
2004,LA,Louisiana,Cervix,9.4,220,2338753,9.41
